D,L,P,G,Tin,X,CHF,CHF_LUT,CHF_NN
0.00384,0.799,7840,3982,281.04,0.288,2339,2285.070326,2454.23
0.00384,0.799,7840,4054,229.87,0.172,2840,3143.908541,3115.978
0.00384,0.799,7840,4990,236.08,0.156,3130,3100.804466,3052.747
0.00384,0.799,7840,4990,246.01,0.181,3061,2990.118914,2884.562
0.00384,0.799,7840,4990,264.05,0.227,2930,2766.955715,2669.987
0.00384,0.799,7840,5013,175.2,0.085,4140,3766.347576,3691.883
0.00384,0.799,7840,5013,182.29,0.089,4000,3687.058668,3609.969
0.00384,0.799,7840,5013,194.54,0.105,3830,3435.093667,3562.42
0.00384,0.799,7840,5013,214.83,0.128,3461,3279.059339,3354.689
0.00384,0.799,7840,5013,223.8,0.129,3261,3272.275238,3300.238
0.00384,0.799,7840,5013,255.13,0.198,2970,2917.268575,2793.867
0.00384,0.799,7840,5013,274.13,0.241,2740,2698.19702,2627.003
0.00384,0.799,7840,5013,286.11,0.265,2610,2512.048608,2541.301
0.00384,0.799,7840,7460,159.04,-0.006,5652,7215.174489,5770.794
0.00384,0.799,7840,7460,170.14,0.028,5620,5656.468712,4718.332
0.00384,0.799,7840,7460,180.24,0.034,5320,5409.368801,4552.023
0.00384,0.799,7840,7460,190.48,0.041,5011,5121.085572,4386.342
0.00384,0.799,7840,7460,199.49,0.043,4711,5038.718935,4283.561
0.00384,0.799,7840,7460,208.64,0.05,4420,4750.435705,4149.231
0.00384,0.799,7840,7460,215.71,0.055,4200,4660.905075,4033.845
0.00384,0.799,7840,7460,227.92,0.067,3850,4446.031563,3772.534
0.00384,0.799,7840,7460,236.93,0.077,3620,4266.970303,3677.477
0.00384,0.799,7840,7460,246.01,0.099,3520,3873.035531,3696.253
0.00384,0.799,7840,7460,256.15,0.13,3480,3743.419057,3506.593
0.00384,0.799,7840,7460,265.05,0.168,3580,3608.232814,3233.045
0.00384,0.799,7840,7460,275.1,0.194,3450,3520.536726,3040.663
0.00384,0.799,7840,7460,286.11,0.217,3270,3473.526327,2870.311
0.00384,0.799,7840,7460,256.15,0.129,3500,3747.142735,3495.759
0.00384,0.799,7840,7460,266.05,0.167,3520,3611.605741,3241.975
0.00384,0.799,7840,7460,275.1,0.189,3390,3537.401359,3075.949
0.00384,0.799,7840,7460,285,0.21,3220,3484.550438,2913.621
0.00384,1.549,7840,3958,248.1,0.317,1700,1951.179456,1725.257
0.00384,1.549,7840,3958,260.22,0.32,1580,1911.07738,1649.595
0.00384,1.549,7840,3958,275.1,0.336,1439,1697.199645,1524.761
0.00384,1.549,7840,3982,287.96,0.339,1339,1650.286425,1422.559
0.00607,0.792,7840,1604,215.71,0.312,2620,2865.784202,3105.74
0.00607,0.792,7840,1604,233.95,0.357,2520,2608.61102,2798.097
0.00607,0.792,7840,1604,255.13,0.385,2330,2447.247354,2539.228
0.00607,0.792,7840,2199,192.51,0.181,3161,3312.050089,3251.688
0.00607,0.792,7840,2199,213.73,0.21,2940,3072.053537,3043.166
0.00607,0.792,7840,2199,285,0.318,2210,2288.727262,2181.514
0.00607,0.792,7840,2208,174.28,0.154,3330,3542.261016,3465.398
0.00607,0.792,7840,2208,242.02,0.255,2680,2736.884669,2624.322
0.00607,0.792,7840,2208,262.04,0.291,2480,2459.620699,2374.484
0.00607,0.792,7840,2698,159.97,0.079,3830,4021.275661,4026.7
0.00607,0.792,7840,2698,194.54,0.125,3420,3442.285991,3566.832
0.00607,0.792,7840,2688,222.93,0.159,3000,3129.695813,3256.486
0.00607,0.792,7840,2688,243.07,0.196,2810,2841.027988,2924.649
0.00607,0.792,7840,2698,266.05,0.232,2500,2585.46314,2786.508
0.00607,0.792,7840,2698,287.96,0.28,2260,2257.791131,2444.494
0.00607,0.792,7840,3207,183.21,0.065,3820,3973.830594,4015.773
0.00607,0.792,7840,3207,206.64,0.096,3461,3498.3438,3584.364
0.00607,0.792,7840,3207,229,0.124,3066,3191.303291,3344.881
0.00607,0.792,7840,3207,249.14,0.157,2800,2875.210543,3036.948
0.00607,0.792,7840,3216,275.1,0.208,2480,2515.477687,2760.96
0.00607,0.792,7840,4003,198.59,0.029,3880,4201.815616,4390.409
0.00607,0.792,7840,3994,232.02,0.075,3211,3413.811618,3577.247
0.00607,0.792,7840,4013,268.24,0.144,2620,2675.590412,2892.162
0.00607,0.792,7840,4013,287.04,0.189,2380,2414.211367,2749.789
0.00607,0.792,7840,4982,178.18,-0.024,4890,5361.647092,5648.815
0.00607,0.792,7840,4982,199.49,0.004,4440,4587.482625,4899.641
0.00607,0.792,7840,5002,229.87,0.044,3700,3685.165043,3908.002
0.00607,0.792,7840,4963,252.04,0.074,3050,3172.533763,3368.715
0.00607,0.792,7840,5011,273.15,0.109,2580,2710.565979,2872.765
0.00607,0.792,7840,5011,286.11,0.133,2260,2580.919346,2753.442
0.0078,0.789,7840,995,124.82,0.288,2960,3209.754858,3118.162
0.0078,0.789,7840,995,156.02,0.343,2820,2942.43224,3004.122
0.0078,0.789,7840,995,186.39,0.387,2660,2728.022612,2733.453
0.0078,0.789,7840,983,203.52,0.429,2580,2536.588067,2572.361
0.0078,0.789,7840,995,229.87,0.463,2450,2365.344894,2394.634
0.0078,0.776,7840,1599,154.86,0.144,3461,3796.398542,3652.764
0.0078,0.776,7840,1605,189.34,0.206,3250,3228.247706,3251.95
0.00807,0.778,7840,1613,218.78,0.249,3000,2865.60118,2859.111
0.00807,0.778,7840,1608,240.12,0.273,2790,2714.924759,2656.458
0.00807,0.778,7840,1581,271.2,0.331,2460,2409.530277,2356.269
0.00807,0.778,7840,2205,123.88,0.018,4600,4640.160919,4616.233
0.00807,0.778,7840,2211,146.93,0.044,4270,4263.793919,4323.626
0.00807,0.778,7840,2216,191.38,0.087,3540,3722.672333,3688.687
0.00807,0.778,7840,2200,223.8,0.141,3130,3193.415875,3258.336
0.00807,0.778,7840,2705,159.04,0.007,4520,4524.561102,4568.28
0.00807,0.778,7840,2662,194.54,0.059,3861,3779.537666,3655.732
0.00807,0.778,7840,2678,233.95,0.109,3170,3133.317187,3040.582
0.00807,0.778,7840,3199,156.02,-0.028,4990,5019.05692,5251.766
0.00807,0.778,7840,3210,189.34,-0.004,4140,4521.512602,4535.5
0.00807,0.778,7840,3199,217.69,0.049,3720,3664.638048,3405.057
0.00807,0.778,7840,3205,253.07,0.106,3011,2928.269253,2759.558
0.00802,1.57,7840,1001,162.98,0.577,1850,1854.443669,1868.79
0.00802,1.57,7840,1007,189.34,0.601,1750,1726.381248,1800.388
0.00802,1.57,7840,1001,222.93,0.622,1589,1496.9581,1709.809
0.00802,1.57,7840,1001,262.04,0.636,1389,1334.191586,1477.624
0.00802,1.57,7840,1023,284.06,0.633,1269,1328.359259,1421.374
0.00802,1.57,7840,1595,144.82,0.334,2389,2391.032579,2443.528
0.00802,1.57,7840,1606,164.14,0.347,2280,2317.876217,2391.334
0.00802,1.57,7840,1606,203.52,0.398,2080,2062.02305,2074.288
0.00802,1.57,7840,1595,233.95,0.432,1880,1780.130738,1785.321
0.00802,1.57,7840,1612,265.05,0.434,1600,1741.979188,1743.025
0.00802,1.57,7840,1606,285,0.46,1470,1464.704854,1597.006
0.00802,1.57,7840,2206,184.35,0.247,2480,2434.756556,2395.949
0.00802,1.57,7840,2206,204.63,0.267,2320,2301.966795,2258.417
0.00802,1.57,7840,2206,232.87,0.306,2100,2049.187615,2098.542
0.00802,1.57,7840,2206,255.13,0.334,1910,1901.218771,1962.033
0.00802,1.57,7840,2195,273.15,0.355,1750,1789.766029,1875.649
0.00802,1.57,7840,2706,164.14,0.136,2810,2895.244113,2756.386
0.00802,1.57,7840,2717,194.54,0.178,2560,2579.123778,2488.665
0.00802,1.57,7840,2706,224.89,0.215,2260,2346.898224,2236.76
0.00802,1.57,7840,2706,246.01,0.251,2110,2133.073524,2142.641
0.00802,1.57,7840,2728,266.05,0.28,1920,1956.61694,2028.578
0.00802,1.595,7840,2706,159.04,0.132,2820,2929.909045,2788.808
0.00802,1.595,7840,2689,179.32,0.157,2630,2735.794131,2630.314
0.00802,1.595,7840,2706,200.61,0.185,2539,2537.383514,2304.138
0.00802,1.595,7840,2706,230.94,0.214,2139,2352.839149,2234.843
0.00802,1.595,7840,2695,260.22,0.276,1960,1988.764348,2052.959
0.00802,1.595,7840,2695,289.98,0.32,1650,1699.895737,1816.229
0.00384,0.799,9800,3982,212.2,0.112,3070,2948.137259,2846.884
0.00384,0.799,9800,4054,223.2,0.118,2920,2868.925033,2793.399
0.00384,0.799,9800,3910,234.46,0.141,2710,2663.773938,2681.607
0.00384,0.799,9800,3958,245.52,0.159,2600,2498.627119,2511.241
0.00384,0.799,9800,3982,253.65,0.16,2450,2487.063994,2482.529
0.00384,0.799,9800,3886,267.89,0.198,2310,2279.917461,2307.794
0.00384,0.799,9800,4006,277.93,0.208,2189,2205.018411,2280.046
0.00384,0.799,9800,3910,290.97,0.238,2010,1994.392996,2167.634
0.00384,0.799,9800,3982,300.85,0.261,1920,1856.223608,2110.154
0.00384,0.799,9800,5013,182.7,0.033,4000,4697.387088,4230.683
0.00384,0.799,9800,5013,197.9,0.055,3770,4070.855294,3732.185
0.00384,0.799,9800,5013,209.09,0.066,3561,3814.804399,3494.507
0.00384,0.799,9800,5013,219.26,0.081,3400,3465.644087,3243.214
0.00384,0.799,9800,5013,230.37,0.088,3150,3302.702608,3123.491
0.00384,0.799,9800,4990,239.59,0.107,3050,2954.747273,2774.235
0.00384,0.799,9800,5013,249.71,0.117,2850,2862.03908,2698.042
0.00384,0.799,9800,5013,258.8,0.129,2710,2748.155354,2616.919
0.00384,0.799,9800,4990,271.87,0.16,2550,2510.412501,2493.034
0.00384,0.799,9800,5013,282.92,0.196,2489,2392.829923,2381.674
0.00384,0.799,9800,4990,290.97,0.216,2376,2301.163212,2313.021
0.00384,0.799,9800,4990,300.85,0.246,2289,2167.840333,2238.145
0.00384,0.799,9800,7460,203.96,-0.003,4681,6583.343139,5116.312
0.00384,0.799,9800,7460,214.19,0.013,4450,5952.812905,4643.077
0.00384,0.799,9800,7532,234.46,0.03,3890,5365.054627,4193.368
0.00384,0.799,9800,7484,245.52,0.047,3590,4707.065985,3823.268
0.00384,0.799,9800,7460,254.69,0.052,3250,4543.699507,3720.162
0.00384,0.799,9800,7532,265.89,0.064,2960,4321.02299,3471.154
0.00384,0.799,9800,7556,275.98,0.082,2720,3953.231285,3214.062
0.00384,0.799,9800,7460,285,0.104,2520,3433.683108,3097.862
0.00384,1.549,9800,3982,203.07,0.218,2020,2132.11182,1904.928
0.00384,1.549,9800,3958,216.18,0.224,1889,2090.320898,1861.059
0.00384,1.549,9800,3934,225.38,0.234,1810,2020.29062,1790.678
0.00384,1.549,9800,4006,237.46,0.243,1730,1947.320082,1750.614
0.00384,1.549,9800,3982,249.71,0.259,1630,1863.697292,1670.952
0.00384,1.549,9800,3982,260.84,0.269,1530,1826.328873,1625.876
0.00384,1.549,9800,3958,271.87,0.289,1450,1748.887265,1538.498
0.00384,1.549,9800,3958,281.97,0.306,1380,1654.530033,1470.36
0.00384,1.549,9800,4006,279.86,0.292,1389,1744.585821,1517.274
0.00384,1.549,9800,3934,295.88,0.339,1300,1365.703563,1293.217
0.0051,2.6,9800,1986,167.3,0.382,1139,953.3538812,1102.375
0.0051,2.6,9800,1986,170.53,0.391,1139,814.3986988,1075.839
0.0051,2.6,9800,2503,222.33,0.392,1174,595.2012399,998.6497
0.0051,2.6,9800,2992,240.44,0.337,1163,1025.415685,1084.658
0.0051,2.6,9800,3441,256.75,0.301,1163,1390.45014,1096.579
0.0051,2.6,9800,3998,271.87,0.289,1174,1521.459308,1184.146
0.0051,2.6,9800,4746,294.98,0.317,1186,1546.10455,1333.682
0.0051,2.6,9800,5304,205.08,0.131,1779,2418.620691,1936.859
0.0051,2.6,9800,5304,201.95,0.124,1791,2469.019823,1997.256
0.00607,0.792,9800,1604,209.09,0.237,2489,2523.856904,2699.968
0.00607,0.792,9800,1613,234.46,0.27,2310,2275.360404,2330.077
0.00607,0.792,9800,1584,254.69,0.304,2110,2092.60331,2090.09
0.00607,0.792,9800,1594,279.86,0.344,1900,1807.366395,1824.629
0.00607,0.792,9800,1594,300.85,0.385,1710,1446.971876,1659.316
0.00607,0.792,9800,2208,180.64,0.095,3170,3405.797682,3304.746
0.00607,0.792,9800,2199,203.96,0.12,2870,3117.357048,3062.777
0.00607,0.792,9800,2208,237.46,0.171,2539,2560.405443,2479.136
0.00607,0.792,9800,2208,269.88,0.22,2170,2140.834683,2176.873
0.00607,0.792,9800,2199,299.79,0.285,1820,1688.926527,1904.748
0.00607,0.792,9800,2707,143.07,0.011,4130,4411.122763,4223.42
0.00607,0.792,9800,2707,168.46,0.044,3811,3844.73978,3652.765
0.00607,0.792,9800,2698,198.8,0.068,3280,3485.599325,3288.442
0.00607,0.792,9800,2707,229.29,0.103,2820,2984.73103,2944.565
0.00607,0.792,9800,2707,259.82,0.143,2360,2537.183846,2586.137
0.00607,0.792,9800,2659,289.86,0.213,2010,1956.317706,2061.615
0.00607,0.792,9800,2707,301.89,0.226,1800,1854.679037,1998.903
0.00607,0.792,9800,3197,172.38,0.007,4090,4369.735508,4214.662
0.00607,0.792,9800,3207,199.93,0.035,3590,3847.747013,3713.394
0.00607,0.792,9800,3197,229.29,0.067,3040,3300.407246,3295.829
0.00607,0.792,9800,3207,249.71,0.096,2710,2834.930273,2824.513
0.00607,0.792,9800,3207,269.88,0.13,2380,2443.822791,2480.044
0.00607,0.792,9800,3197,299.79,0.193,1920,1909.869589,2135.958
0.00607,0.792,9800,4003,214.19,0.011,3761,4192.054293,4189.405
0.00607,0.792,9800,4023,247.62,0.056,3030,3276.814911,3485.488
0.00607,0.792,9800,4023,281.01,0.099,2239,2454.173717,2424.89
0.00607,0.792,9800,4003,297.85,0.139,1930,2110.54029,2182.912
0.00607,0.792,9800,5002,237.46,0.02,3811,4043.002332,4154.384
0.00607,0.792,9800,5002,259.82,0.041,3090,3543.376134,3560.946
0.00607,0.792,9800,5002,279.86,0.066,2460,3033.194809,2978.91
0.00607,0.792,9800,5011,299.79,0.111,1970,2321.493439,2242.097
0.0074,3.8,9800,1260,246.57,0.603,697,377.3215433,622.2102
0.0074,3.8,9800,1486,254.69,0.507,697,384.4648371,697.6615
0.0074,3.8,9800,2003,270.88,0.391,709,654.2890477,928.09
0.0074,3.8,9800,2519,285.95,0.331,709,1011.765697,848.5075
0.0074,3.8,9800,3049,304.82,0.333,709,885.0914474,826.0944
0.0074,3.8,9800,1486,101.89,0.5,1174,396.1208144,701.3358
0.0074,3.8,9800,1983,162.21,0.388,1174,718.9164113,941.4808
0.0074,3.8,9800,2003,166.38,0.397,1174,576.5698779,931.3736
0.0074,3.8,9800,2519,200.83,0.302,1151,1264.29968,1031.08
0.0074,3.8,9800,2558,200.83,0.305,1174,1225.368078,997.6295
0.0074,3.8,9800,3004,220.14,0.269,1174,1334.083258,1108.974
0.0074,3.8,9800,3475,245.52,0.267,1163,1334.624145,1201.181
0.0074,3.8,9800,3940,261.85,0.265,1163,1327.919418,1213.31
0.0074,3.8,9800,4496,281.97,0.287,1163,1371.832356,1141.981
0.0074,3.8,9800,5529,293.89,0.266,1174,1665.217571,1344.715
0.0074,3.8,9800,5878,303.79,0.284,1174,1651.202766,1342.074
0.0074,3.8,9800,5943,304.82,0.287,1174,1648.769932,1350.767
0.0104,3.8,9800,668,184.76,0.779,755,534.6373221,577.9109
0.0104,3.8,9800,668,188.63,0.766,732,580.8191699,599.5096
0.0104,3.8,9800,896,213.09,0.564,755,882.6311687,646.247
0.0104,3.8,9800,896,217.28,0.568,755,862.1603258,654.7837
0.0104,3.8,9800,1112,234.46,0.444,767,1199.236596,708.6729
0.0104,3.8,9800,1325,249.71,0.394,767,1331.164281,858.3093
0.0104,3.8,9800,1662,274.81,0.347,744,1307.073939,979.4821
0.0104,3.8,9800,1685,118.06,0.298,1477,1549.694022,1341.137
0.0104,3.8,9800,1688,197.9,0.318,1128,1440.835741,1157.833
0.0104,3.8,9800,1688,203.07,0.329,1104,1381.693095,1146.406
0.0104,3.8,9800,2002,286.88,0.312,755,1221.070205,934.9837
0.0104,3.8,9800,2015,289.86,0.328,767,1121.693357,890.9088
0.0104,3.8,9800,2240,168.46,0.223,1500,1605.250104,1426.502
0.0104,3.8,9800,2240,241.5,0.285,1104,1273.152155,1153.545
0.0104,3.8,9800,2420,299.79,0.299,755,1124.685318,956.8521
0.0104,3.8,9800,2747,260.84,0.25,1081,1292.641437,1197.891
0.0104,3.8,9800,2806,196.78,0.159,1477,1775.824628,1604.919
0.0104,3.8,9800,3303,212.2,0.121,1477,1917.703223,1674.764
0.0104,3.8,9800,3336,214.19,0.122,1477,1901.094292,1650.983
0.0104,3.8,9800,3369,281.97,0.245,1104,1227.543981,1110.712
0.0051,2.6,11760,1999,145.2,0.305,1174,1149.66674,1137.98
0.0051,2.6,11760,2489,195.07,0.271,1151,1171.389501,1077.531
0.0051,2.6,11760,3998,254.14,0.185,1174,1661.680826,1351.009
0.0051,2.6,11760,2992,106.86,0.178,1756,1657.822864,1696.277
0.0051,2.6,11760,3414,135.08,0.136,1732,1997.257535,1982.107
0.0051,2.6,11760,3441,140.26,0.157,1744,1761.086664,1783.724
0.0051,2.6,11760,3917,160.39,0.12,1744,2173.551692,2174.757
0.0077,2.6,11760,1021,257.24,0.5,732,403.1624858,709.5538
0.0077,2.6,11760,1021,261.35,0.517,732,370.7838479,678.3697
0.0077,2.6,11760,1253,275.6,0.42,721,742.4483204,801.5533
0.0077,2.6,11760,1253,280.67,0.445,721,658.1435013,715.0646
0.0077,2.6,11760,1498,198.01,0.324,1128,1100.364733,1146.491
0.0077,2.6,11760,1498,288.69,0.38,744,678.0774828,793.3403
0.0077,2.6,11760,1736,137.2,0.235,1511,1464.435048,1517.479
0.0077,2.6,11760,1760,299.7,0.353,744,694.6908396,800.2695
0.0077,2.6,11760,1963,233.8,0.238,1104,1302.085479,1214.043
0.0077,2.6,11760,1999,308.76,0.338,744,593.6679862,778.6298
0.0077,2.6,11760,2017,98.04,0.175,1895,1708.690632,1661.88
0.0077,2.6,11760,2017,162.48,0.19,1511,1585.506525,1567.499
0.0077,2.6,11760,2261,311.77,0.305,732,842.4662474,821.787
0.0077,2.6,11760,2285,178.65,0.142,1511,1875.445318,1656.74
0.0077,2.6,11760,2422,197.1,0.162,1488,1635.493573,1513.059
0.0077,2.6,11760,2494,133.19,0.117,1930,2051.110072,1832.674
0.0077,2.6,11760,2506,253.1,0.184,1116,1428.306917,1297.232
0.0077,2.6,11760,2721,261.35,0.179,1116,1411.678189,1266.344
0.0077,2.6,11760,2750,264.41,0.183,1116,1373.765421,1205.117
0.0077,2.6,11760,2756,158.29,0.108,1907,2067.798148,1826.181
0.0077,2.6,11760,2756,210.34,0.139,1488,1739.60798,1673.643
0.0077,2.6,11760,2971,172.66,0.1,1907,2086.292069,1865.71
0.0077,2.6,11760,2971,218.54,0.124,1488,1835.381924,1734.766
0.0077,2.6,11760,2971,271.44,0.183,1116,1317.328664,1190.454
0.0077,2.6,11760,3252,184.83,0.095,1930,2111.200232,1982.949
0.0077,2.6,11760,3252,277.56,0.174,1116,1355.832692,1254.615
0.0077,2.6,11760,3281,230.78,0.112,1500,1903.400593,1742.655
0.0077,2.6,11760,3442,236.81,0.11,1500,1896.751359,1746.676
0.0077,2.6,11760,3777,209.22,0.092,1930,2096.913325,2095.054
0.0077,2.6,11760,5727,304.81,0.197,1535,1743.766837,1506.506
0.0077,2.6,11760,5984,312.6,0.216,1500,1764.78662,1564.805
0.0104,3.8,11760,609,167.58,0.786,709,283.869303,456.4072
0.0104,3.8,11760,805,200.04,0.567,709,488.5653591,528.4234
0.0104,3.8,11760,1014,232.72,0.464,721,682.0510757,579.3738
0.0104,3.8,11760,1214,137.2,0.331,1069,1191.46552,905.528
0.0104,3.8,11760,1397,64.73,0.215,1383,1606.069192,1337.64
0.0104,3.8,11760,1501,172.66,0.26,1081,1243.516758,1073.845
0.0104,3.8,11760,1515,269.44,0.326,721,928.2805231,749.1274
0.0104,3.8,11760,1515,273.43,0.334,709,899.0010988,749.126
0.0104,3.8,11760,1940,294.81,0.304,709,837.7456126,725.4575
0.0104,3.8,11760,1995,145.2,0.159,1418,1592.711437,1409.939
0.0104,3.8,11760,1995,215.44,0.19,1069,1373.361998,1188.746
0.0104,3.8,11760,1995,300.77,0.302,686,833.3561828,703.6702
0.0104,3.8,11760,2384,313.59,0.314,709,611.1557284,626.5267
0.0104,3.8,11760,2453,184.83,0.124,1395,1714.957812,1461.72
0.00384,0.799,14710,3958,208.99,-0.082,2950,5871.830232,4277.39
0.00384,0.799,14710,4006,281.71,0.106,2280,2903.217639,2191.415
0.00384,0.799,14710,4006,290.94,0.111,2080,2847.081226,2121.373
0.00384,0.799,14710,4006,301.14,0.134,1939,2588.853724,1939.306
0.00384,0.799,14710,4006,310.17,0.164,1839,2293.496225,1759.934
0.00384,0.799,14710,4006,321.16,0.187,1639,2103.383191,1634.324
0.00384,0.799,14710,4006,329.88,0.213,1480,1904.06283,1529.253
0.00384,0.799,14710,4990,301.14,0.123,2339,2957.115864,2215.869
0.00384,0.799,14710,4942,310.17,0.149,2189,2643.268516,2045.797
0.00384,0.799,14710,4942,321.16,0.184,2000,2366.517113,1879.342
0.00384,0.799,14710,4942,329,0.206,1820,2205.603364,1779.637
0.00384,1.549,14710,3982,244.85,0.185,1800,2109.174294,1631.852
0.00384,1.549,14710,3982,257.06,0.197,1700,2009.962729,1554.261
0.00384,1.549,14710,3982,272.6,0.231,1589,1766.60372,1417.84
0.00384,1.549,14710,3958,282.68,0.255,1520,1583.642938,1294.712
0.00384,1.549,14710,4006,295.07,0.261,1400,1557.043339,1262.691
0.00384,1.549,14710,4006,307.21,0.258,1230,1580.377091,1268.837
0.00384,1.549,14710,4006,316.27,0.272,1130,1471.486248,1215.7
0.00384,1.549,14710,3982,326,0.294,1019,1290.162036,1134.86
0.00384,1.549,14710,3982,334.54,0.316,919,1189.573271,1076.4
0.0051,2.6,14710,2027,277.58,0.289,662,870.3907924,828.6064
0.0051,2.6,14710,2258,295.07,0.302,662,773.6945488,744.7494
0.0051,2.6,14710,2503,214.12,0.277,1163,914.4769109,912.3799
0.0051,2.6,14710,2965,313.25,0.296,709,837.246442,777.2805
0.0051,2.6,14710,2992,236.71,0.227,1163,1258.700034,1196.549
0.0051,2.6,14710,3495,260.17,0.216,1163,1426.205578,1327.174
0.0051,2.6,14710,3522,330.89,0.316,686,838.2733667,779.0274
0.00607,0.792,14710,1604,212.11,0.026,2200,2498.691531,2199.942
0.00607,0.792,14710,1604,251,0.096,1860,1959.981658,1907.099
0.00607,0.792,14710,1604,280.73,0.155,1610,1552.130778,1494.515
0.00607,0.792,14710,1604,301.14,0.178,1370,1395.697146,1348.606
0.00607,0.792,14710,1604,321.16,0.213,1119,1195.367484,1187.903
0.00607,0.792,14710,2208,238.65,-0.015,2450,3053.532875,2512.746
0.00607,0.792,14710,2208,280.73,0.095,1960,2024.683964,1982.24
0.00607,0.792,14710,2199,320.2,0.166,1360,1443.420542,1449.574
